,out,0,1,2,3,4,5,6,7,8,9
s1_walk_0,0,6673.886977918912,55.64640974062613,3.838517840005965,0.13572809439606864,0.0027030173707193444,8601703.566721844,1122.0282350296422,146.68952460594977,22.12165438431557,3.0450604163570927
s1_walk_1,0,6718.186670087198,51.5610372618539,6.255340888056437,0.19715156077197543,0.0031755028704540866,8737871.504811624,1265.9507555166667,199.58819841120817,23.485820906805326,3.1757133896654346
s1_walk_2,0,6766.493630772757,51.64956247030795,5.107742492386519,0.0033105435250763587,0.20916084824596687,8812098.460926173,1160.011759420221,163.481270018625,23.314468105047748,2.9717700897798047
s1_walk_3,0,6748.717093093345,60.4214691059453,5.017041751590278,0.21216015578290118,0.003036238409148963,8574859.65293316,690.5359704134063,125.39359213650553,22.21162164590487,2.6830715128337856
s1_walk_4,0,6709.434374733628,62.39336980098238,6.302752372672384,0.21885479093092428,0.00307402115306684,8337290.208639367,517.1853542209631,74.38394676390627,6.390056619347257,1.2631333185349922
s1_walk_5,0,6867.082670157787,55.7992699554852,4.351720536208825,0.002992427887811027,0.22044383298808812,8035124.6033570245,280.43230929458076,62.75352658321544,6.089529671863634,1.2141400878394946
s1_walk_6,0,6611.444463244867,52.2858184394,6.119026982959166,0.14338234222689603,0.0025003525121946686,7792274.184433017,229.27316290644941,69.3436349125521,5.436469514493337,0.8592820057727525
s1_walk_7,0,6597.485478786213,57.91856353475312,3.8082089867213273,0.1463716626897937,0.0025361640230712585,7669750.084773561,251.7440301023725,73.38105240681959,5.796370366529592,1.0967418481677826
s1_walk_8,0,6543.788092128898,46.400645688313006,5.066283626592341,0.13319894764650456,0.0024698281052355944,7531310.124164483,355.99325819911434,94.94727119909996,1.1175944646816942,6.112134167264103
s1_walk_9,0,6605.199381445328,57.6022155325445,4.704228345685306,0.13514691781813679,0.0027143856889168512,7612552.996448373,301.7549157357125,60.48168425441546,0.3615904347933094,4.744241399675583
s1_walk_10,0,6574.751594231723,62.47963842703975,4.227776666336111,0.16377568884648805,0.0029962707364685525,7684474.166457637,207.6875578296141,70.88733740489434,0.6092308266236653,4.120505129364186
s1_walk_11,0,6587.171834943941,52.495542851807166,5.8567133442217925,0.165927783693812,0.0030586662164080315,7814141.5712983785,301.771077531997,32.14077071110752,0.5909380303119562,3.1903664275468486
s1_walk_12,0,6624.674745837836,68.98929628035482,4.438889700974147,0.16324432466653033,0.003236708191478226,8060257.788220387,384.13901578202,113.20657880822554,3.723522783527392,0.45475061787802956
s1_walk_13,0,6729.908459786003,58.195114485985314,6.340871504157133,0.17009372701469072,0.0031717182893697617,8032526.464036575,364.7348088826388,26.76980871541108,3.388308808170977,0.6901275830946643
s1_walk_14,0,6687.785917582429,52.2448973717563,5.85811018866354,0.165088527427237,0.0030924905449832667,8064111.101789851,571.7031344425471,159.23722245716058,7.240814984224142,0.7706714878983113
s1_walk_15,0,6636.300039531018,70.21182062609361,4.745779879646348,0.14362959132140116,0.0027112767894970726,8063323.544670695,647.2179588791076,66.63360569646245,0.5183808827141086,6.778681527249578
s1_walk_16,0,6675.6515244504635,58.98410587732627,6.242213990438974,0.14736532335062116,0.002859656804018635,7904913.902437621,446.0920140544978,156.47654712640053,0.7294255308552235,6.8161410067690715
s1_walk_17,0,6593.47369815932,56.93801734907342,5.2654882973905,0.14126540347542896,0.0027887833018919598,7807712.6268018205,583.1676403924039,53.34499023829238,0.7776391403172047,6.420579801020929
s1_walk_18,0,6619.249201594418,62.04068550434928,6.104042958904188,0.1352716064142132,0.0028404384286056226,8028142.269346912,575.6421852227851,93.97832044235427,8.857996038250894,0.628634526496624
s1_walk_19,0,6605.892124301752,56.548122136536776,5.62591150237131,0.13571942756786187,0.002953732955123156,8071238.528344492,257.20651448869324,37.04132838917416,5.57911416085492,0.6984395439401624
s1_walk_20,0,6651.5909115054865,49.49914793963864,5.0016175122491715,0.14077392209611814,0.0029258340384756285,8223281.16954682,341.07299526158556,33.10142602019402,6.506163491641977,1.381569558114112
s1_walk_21,0,6629.128284514646,64.84543918684301,6.626627707006646,0.14821872074153056,0.0025607297198724493,8267677.178379989,301.3086447028107,43.34641703995372,6.350774557204789,1.159721388033283
s1_walk_22,0,6781.313199970749,60.01596143716278,6.259939760250933,0.16011820109195699,0.003038105084751154,8184998.536998665,279.7309537102236,37.742844273996006,6.120473045919261,1.023115315477219
s1_walk_23,0,6769.430163552243,60.95111221772613,7.149549331484966,0.20655509486470577,0.0034907816442304998,8194377.410708852,347.66424390921554,53.611119517141546,1.4993404376198762,5.245445974555978
s1_walk_24,0,6764.134417180981,76.20995260765918,7.8049237482588,0.003562478842848981,0.21512877574686534,8092833.862949745,476.1237118717275,64.29608333579492,11.076178213479276,1.7531526833840354
s1_walk_25,0,6858.551061187625,77.96512015556455,7.804653152226647,0.24983761003580535,0.004278324918247316,8123816.748590067,483.8304574793178,73.7517495360724,1.0682601183819687,10.226503637379531
s1_walk_26,0,6900.440393871244,67.88092489762786,7.529649225667612,0.2516822098461731,0.004525666762337504,8136112.0639518825,501.15256226172795,62.28570025300402,10.809892291486209,1.3045556865494075
s1_walk_27,0,6740.358774155454,74.62427758591173,8.77261350727435,0.281905773938207,0.00420354358637973,8185432.958149622,392.68245540260745,78.06718625532139,10.584090367338662,1.3265959396878082
s1_walk_28,0,6882.356644711263,62.93441937267945,7.385781038531924,0.2515996304638405,0.0038135617895005552,8034514.356895034,326.42690874598577,56.38968596130725,0.7424589762762807,8.30475218089439
s1_walk_29,0,6796.584687755835,62.59161556618675,7.673104688188073,0.0035270841870236997,0.22148393012275858,8190669.7430616245,222.567249203814,30.974144727352954,2.300492978736359,0.3591386559222437
s1_walk_30,0,6579.798600360744,74.29057570490764,5.899659089849201,0.1812697694486774,0.002863644994707276,8057547.257073362,233.78430425634122,31.234360112171462,2.3233378018800215,0.7075468919398243
s1_walk_31,0,6560.6082312583885,67.20487814515192,7.415561632965525,0.17407888960567916,0.002638132326765404,8085162.556268659,231.58754494390928,23.667836721354206,1.9359211883639547,0.4649728212820663
s1_walk_32,0,6584.078073583724,51.416631695209695,5.248118247527966,0.12821996791470708,0.0024969786343502836,8164989.529295565,201.33510692232514,26.466085090637083,1.6971315656054993,0.43603638170462417
s1_walk_33,0,6586.021595218627,46.8771691802837,5.328836177979526,0.12679288603929334,0.0023438908235904085,8321823.189042468,244.72147854889607,19.606959117626925,2.08265603329652,1.019755004791749
s1_walk_34,0,6588.041986302167,55.735212866473866,5.395914713113803,0.12865667256652508,0.0023280227790044472,8356494.996204557,235.17715199050102,24.828876622067227,1.9538210869712072,1.0122478053280894
